MNEMONIC	ORDER_SENTENCE_DISPLAY_LINE
BMP	Blood, ASAP (Now) collect, Once
BMP	Blood, ASAP collect, Once
BMP	Blood, Add On collect, Once
BMP	Blood, Routine Today collect, Once
BMP	Blood, Stat collect, Lab Collect
BMP	Blood, Stat collect, Nurse collect, Once
BMP	Blood, Stat collect, Once
BMP	Blood, Stat collect, Once, Lab Collect
BMP	Blood, Stat collect, Once, Lab Coolect
BMP	Blood, Timed Study collect, Once
BMP	Blood, Timed Study collect, q6hr (interval)
BMP	Blood, Tomorrow AM collect, Once
BMP	Requested Draw Date and T T+1;0400, Blood, Tomorrow AM collect, 1xDaily
BMP	Requested Draw Date and T T+1;0400, Blood, Tomorrow AM collect, Once
BMP	Requested Draw Date and T T;N+240, Blood, Timed Study collect, Once
BMP	Requested Draw Date and T T;N+240, Blood, Timed Study collect, q4hr (interval), while on hypertonic sodium chloride 3% infusion
BMP	Requested Draw Date and T T;N, Blood, Stat collect
Calcium Level Ionized, Serum	Requested Draw Date and T T+1;0400, Blood, Tomorrow AM collect, Once
Calcium Level Ionized, Serum	Requested Draw Date and T T;N+120, Blood, Timed Study collect, Once
Calcium Level Ionized, Serum	Requested Draw Date and T T;N+600, Blood, Timed Study collect, Once
Calcium Level Ionized, Serum	Requested Draw Date and T T;N, Blood, ASAP collect, Once
Calcium Level Ionized, Whole Blood	Blood, ASAP (Now) collect, Once
Calcium Level Ionized, Whole Blood	Blood, Routine Today collect, Once
Calcium Level Ionized, Whole Blood	Blood, Stat collect, Once
Calcium Level Ionized, Whole Blood	Blood, Tomorrow AM collect, Requested Draw Date and T T+1;0400, Once
Calcium Level Ionized, Whole Blood	Requested Draw Date and T T+1;0400, Blood, Tomorrow AM collect, 1xDaily
Calcium Level Ionized, Whole Blood	Requested Draw Date and T T+1;0400, Blood, Tomorrow AM collect, Once, for 3 days
Calcium Level Ionized, Whole Blood	Requested Draw Date and T T+1;0400, Blood, Tomorrow AM collect, Once
Calcium Level Ionized, Whole Blood	Requested Draw Date and T T;N+120, Blood, Timed Study collect, Once
Calcium Level Ionized, Whole Blood	Requested Draw Date and T T;N+600, Blood, Timed Study collect, Once
K-Phos Neutral	1 tab(s), PO, Tab, 3xDaily with meals, Clinical Instructions: contains: phosphorus 8 mmol, potassium 1.1 meq, sodium 13 meq per tablet.
K-Phos Neutral	2 tab(s), PO, Tab, q2hr (interval), Duration: 2 dose(s)
K-Phos Neutral	2 tab(s), PO, Tab, q2hr (interval), Duration: 3 dose(s)
Magnesium Level	Blood, ASAP (Now) collect, Once
Magnesium Level	Blood, Add On collect, Once
Magnesium Level	Blood, Routine Today collect
Magnesium Level	Blood, Routine Today collect, Once
Magnesium Level	Blood, Stat collect, Lab Collect, Once
Magnesium Level	Blood, Stat collect, Nurse collect, Once
Magnesium Level	Blood, Stat collect, Once
Magnesium Level	Blood, Timed Study collect, q4hr, until HCO3 is greater than 20 mmol/L
Magnesium Level	Blood, Tomorrow AM collect, Requested Draw Date and T T+1;0400, Once
Magnesium Level	Requested Draw Date and T T+1;0400, Blood, Tomorrow AM collect, 1xDaily, for 3 day(s)
Magnesium Level	Requested Draw Date and T T+1;0400, Blood, Tomorrow AM collect, Once
Magnesium Level	Requested Draw Date and T T;N+240, Blood, Timed Study collect, Once
Magnesium Level	Requested Draw Date and T T;N+360, Blood, Timed Study collect, Once
Magnesium Level	Requested Draw Date and T T;N+480, Blood, Timed Study collect, Once
